Wall time,Step,Value
1552986759.976955,1000,0.9980999827384949
1552986831.9165442,2000,0.9962000250816345
1552986899.78502,3000,0.9943000078201294
1552986972.630186,4000,0.9923999905586243
1552987042.567131,5000,0.9904999732971191
1552987115.7862968,6000,0.9886000156402588
1552987184.9386518,7000,0.9866999983787537
1552987254.0248713,8000,0.9847999811172485
1552987324.4026368,9000,0.9829000234603882
1552987395.1194963,10000,0.9810000061988831
1552987464.333374,11000,0.9790999889373779
1552987540.7021163,12000,0.9771999716758728
1552987621.9119093,13000,0.9753000140190125
1552987704.0203004,14000,0.9733999967575073
1552987792.0666409,15000,0.9714999794960022
1552987890.2580185,16000,0.9696000218391418
1552987987.8739324,17000,0.9677000045776367
1552988088.5726004,18000,0.9657999873161316
1552988189.2483299,19000,0.9639000296592712
1552988291.0021763,20000,0.9620000123977661
1552988392.0967853,21000,0.960099995136261
1552988493.6222425,22000,0.9581999778747559
1552988590.5699432,23000,0.9563000202178955
1552988691.85199,24000,0.9544000029563904
1552988792.928906,25000,0.9524999856948853
1552988896.5425622,26000,0.9506000280380249
1552989003.4434733,27000,0.9487000107765198
1552989105.2366645,28000,0.9467999935150146
1552989206.9556036,29000,0.9448999762535095
1552989306.47343,30000,0.9430000185966492
1552989408.7438948,31000,0.941100001335144
1552989508.6885796,32000,0.9391999840736389
1552989611.5644248,33000,0.9373000264167786
1552989714.266734,34000,0.9354000091552734
1552989812.351766,35000,0.9334999918937683
1552989917.64374,36000,0.9315999746322632
1552990020.897404,37000,0.9297000169754028
1552990120.6655612,38000,0.9277999997138977
1552990222.1601007,39000,0.9258999824523926
1552990324.466469,40000,0.9240000247955322
1552990424.1388955,41000,0.9221000075340271
1552990529.9309275,42000,0.920199990272522
1552990633.1329002,43000,0.9182999730110168
1552990731.8678212,44000,0.9164000153541565
1552990834.2689357,45000,0.9144999980926514
1552990935.9649367,46000,0.9125999808311462
1552991039.598755,47000,0.9107000231742859
1552991141.9430213,48000,0.9088000059127808
1552991247.363062,49000,0.9068999886512756
1552991350.789435,50000,0.9049999713897705
